community;PageRank;TotalSet;rulesIntersection;onlyOnPageRank;onlyOnTotalSet
156;causal=alto,judea pearl=baixo,scienc depart=baixo;model reason infer=baixo,pearl=alto;california los=alto;los=alto,pearl=alto;judea=baixo,reason infer cambridg=baixo
156;california los=alto;nsf=baixo,pearl=alto,probabilist=baixo;california los angel=alto;causal=alto,judea pearl=baixo,path=alto;nsf=baixo,pearl=alto,valid=baixo
156;california los angel=alto;fact=baixo,nsf=baixo,pearl=alto;univers california los=alto;govern=baixo,pearl=alto,scienc depart=baixo;lemma=baixo,pearl=alto,schein causat predict=baixo
156;causal=alto,cognit=baixo,scienc depart=baixo;nsf=baixo,pearl=alto,valid=baixo;;causal=alto,judea pearl=baixo,scienc depart=baixo;fact=baixo,nsf=baixo,pearl=alto
156;causal=alto,judea pearl=baixo,path=alto;assign=baixo,nsf=baixo,pearl=alto;;agreement=baixo,school comput scienc=baixo;joint probabl=baixo,schein causat predict=baixo
156;devis=baixo,pearl=alto,scienc depart=baixo;california los=alto;;causal=alto,devis=baixo,scienc depart=baixo;judea pearl=baixo,nsf=baixo
156;causal=alto,cognit=baixo,judea pearl=baixo,pearl=alto;california los angel=alto;;causal=alto,path=alto,scienc depart=baixo;assign=baixo,nsf=baixo,pearl=alto
156;univers california los=alto;encod=baixo,model reason infer=baixo;;school comput scienc=baixo,variat=alto;nsf=baixo,pearl=alto,research support=baixo
156;causal=alto,depart univers=baixo;model reason infer=baixo,research support=baixo;;languag=baixo,school comput scienc=baixo;encod=baixo,model reason infer=baixo
156;los=alto,pearl=alto;judea pearl=baixo,nsf=baixo;;causal=alto,depart univers=baixo;treatment=alto,unobserv=alto
156;judea pearl=baixo,mere=baixo;nsf=baixo,pearl=alto,predict search=baixo;;accuraci=baixo,school comput scienc=baixo;nsf=baixo,pearl=alto,probabilist=baixo
156;languag=baixo,school comput scienc=baixo;univers california los=alto;;causal=alto,cognit=baixo,judea pearl=baixo,pearl=alto;model reason infer=baixo,pearl=alto
156;accuraci=baixo,school comput scienc=baixo;joint probabl=baixo,schein causat predict=baixo;;judea pearl=baixo,mere=baixo;pearl=alto,predict search=baixo,subgraph=baixo
156;agreement=baixo,school comput scienc=baixo;treatment=alto,unobserv=alto;;causal=alto,criterion=alto;fact=baixo,pearl=alto,predict search=baixo
156;causal=alto,criterion=alto;pearl=alto,predict search=baixo,subgraph=baixo;;devis=baixo,pearl=alto,scienc depart=baixo;pearl=alto,predict search=baixo,reason intellig=baixo
156;causal=alto,devis=baixo,scienc depart=baixo;nsf=baixo,pearl=alto,research support=baixo;;causal=alto,cognit=baixo,scienc depart=baixo;model reason infer=baixo,research support=baixo
156;criterion=alto,pearl=alto;lemma=baixo,pearl=alto,schein causat predict=baixo;;criterion=alto,pearl=alto;nsf=baixo,pearl=alto,predict search=baixo
156;school comput scienc=baixo,variat=alto;pearl=alto,predict search=baixo,reason intellig=baixo;;;
156;causal=alto,path=alto,scienc depart=baixo;fact=baixo,pearl=alto,predict search=baixo;;;
156;govern=baixo,pearl=alto,scienc depart=baixo;judea=baixo,reason infer cambridg=baixo;;;
