community;PageRank;pr_features_counting;ts_features_counting;TotalSet
156;causal=alto,judea pearl=baixo,scienc depart=baixo;3;2;model reason infer=baixo,pearl=alto
156;california los=alto;1;3;nsf=baixo,pearl=alto,probabilist=baixo
156;california los angel=alto;1;3;fact=baixo,nsf=baixo,pearl=alto
156;causal=alto,cognit=baixo,scienc depart=baixo;3;3;nsf=baixo,pearl=alto,valid=baixo
156;causal=alto,judea pearl=baixo,path=alto;3;3;assign=baixo,nsf=baixo,pearl=alto
156;devis=baixo,pearl=alto,scienc depart=baixo;3;1;california los=alto
156;causal=alto,cognit=baixo,judea pearl=baixo,pearl=alto;4;1;california los angel=alto
156;univers california los=alto;1;2;encod=baixo,model reason infer=baixo
156;causal=alto,depart univers=baixo;2;2;model reason infer=baixo,research support=baixo
156;los=alto,pearl=alto;2;2;judea pearl=baixo,nsf=baixo
156;judea pearl=baixo,mere=baixo;2;3;nsf=baixo,pearl=alto,predict search=baixo
156;languag=baixo,school comput scienc=baixo;2;1;univers california los=alto
156;accuraci=baixo,school comput scienc=baixo;2;2;joint probabl=baixo,schein causat predict=baixo
156;agreement=baixo,school comput scienc=baixo;2;2;treatment=alto,unobserv=alto
156;causal=alto,criterion=alto;2;3;pearl=alto,predict search=baixo,subgraph=baixo
156;causal=alto,devis=baixo,scienc depart=baixo;3;3;nsf=baixo,pearl=alto,research support=baixo
156;criterion=alto,pearl=alto;2;3;lemma=baixo,pearl=alto,schein causat predict=baixo
156;school comput scienc=baixo,variat=alto;2;3;pearl=alto,predict search=baixo,reason intellig=baixo
156;causal=alto,path=alto,scienc depart=baixo;3;3;fact=baixo,pearl=alto,predict search=baixo
156;govern=baixo,pearl=alto,scienc depart=baixo;3;2;judea=baixo,reason infer cambridg=baixo
