community;PageRank;pr_features_counting;ts_features_counting;TotalSet
6;pool=alto,similar=baixo;2;1;freita=alto
6;conclus=baixo,pool=alto;2;2;space=alto,univers british=alto
6;carri=alto,zhang=alto;2;2;canada=alto,univers british=alto
6;vancouv canada=medio;1;2;columbia=alto,lead=medio
6;choos=alto,littman=alto;2;2;obtain=alto,univers british=alto
6;columbia=alto,univers british=alto;2;2;conclus=medio,vancouv canada=medio
6;comput scienc univers=alto,pool=alto;2;2;columbia=alto,shown=alto
6;pool=alto,vancouv=medio;2;2;canada=alto,columbia=alto
6;approxim=baixo,lang=alto;2;2;choos=alto,univers british columbia=alto
6;littman=alto,research=baixo;2;2;lead=medio,univers british=alto
6;state=alto,zhang=alto;2;2;respect=medio,univers british=alto
6;british columbia=alto,pool=alto;2;2;associ=baixo,univers british=alto
6;british=alto,pool=alto;2;2;choos=alto,columbia=alto
6;structur=baixo,vancouv=medio;2;2;british=alto,obtain=alto
6;group=baixo,pool=alto;2;2;cost=medio,univers british columbia=alto
6;british columbia=alto,lead=medio;2;2;infer=baixo,univers british columbia=alto
6;columbia=medio,univers british columbia=medio;2;2;conclus=medio,univers british=alto
6;structur=baixo,univers british columbia=medio;2;2;larg=alto,univers british=alto
6;british columbia=alto,upper bound=baixo;2;1;univers british=alto
6;optim polici=medio,zhang=alto;2;1;univers british columbia=alto
