caracteristicasPageRank;freqWordPageRank;caracteristicasTotalSet;freqWordTotalSet
rout=baixo;9;fuzzi set=baixo;14.0
fuzzi set=baixo;8;foundat=baixo;7.0
foundat=baixo;5;vol=baixo;2.0
necess=baixo;4;intellig=baixo;2.0
possibl distribut=baixo;3;lang=baixo;2.0
exist=baixo;2;world=baixo;2.0
conclus=baixo;2;knowledg base=baixo;2.0
vol=baixo;2;prade=alto;2.0
solut=baixo;2;inform=alto;1.0
inform=alto;1;context=baixo;1.0
zhang=alto;1;kaufmann publish inc.=baixo;1.0
canada=baixo;1;instead=baixo;1.0
david=baixo;1;contribut=baixo;1.0
issu=baixo;1;combin=baixo;1.0
univers british columbia=baixo;1;pittsburgh=alto;1.0
depart comput=baixo;1;fuzzi=alto;1.0
columbia vancouv=baixo;1;look=alto;1.0
vancouv=baixo;1;decomposit=baixo;1.0
fuzzi=alto;1;estim=baixo;1.0
describ=baixo;1;min max=baixo;1.0
fuzzi=baixo;1;justifi=baixo;1.0
capabl=baixo;1;stanford univers=baixo;1.0
total order=baixo;1;academ=alto;1.0
lang=baixo;1;max=alto;1.0
establish=baixo;1;denot=baixo;1.0
degre=alto;1;way=alto;1.0
inconsist=baixo;1;imprecis=baixo;1.0
ed=alto;1;belief network=baixo;1.0
form=baixo;1;daphn koller=baixo;1.0
previous=baixo;1;befor=baixo;1.0
look=alto;1;partit=baixo;1.0
daphn koller=baixo;1;conclus=baixo;1.0
author=baixo;1;observ=baixo;1.0
los angel=baixo;1;simpl=alto;1.0
comput probabl=baixo;1;equal=baixo;1.0
pittsburgh=alto;1;particular=baixo;1.0
publish inc.=alto;1;standard=alto;1.0
moreov=alto;1;order=baixo;1.0
univers california los=baixo;1;data=baixo;1.0
mention=baixo;1;pool=alto;1.0
grow=baixo;1;discret=baixo;1.0
network structur=baixo;1;success=baixo;1.0
algorithm use=baixo;1;proceed=baixo;1.0
constant=baixo;1;requir=baixo;1.0
random variabl=baixo;1;vancouv=baixo;1.0
constraint=baixo;1;reduc=baixo;1.0
optim=baixo;1;task=baixo;1.0
success=baixo;1;natur=baixo;1.0
idea=baixo;1;daphn=baixo;1.0
allow=alto;1;koller=alto;1.0
standard=alto;1;effect=baixo;1.0
test=baixo;1;easili=baixo;1.0
basic=baixo;1;program=baixo;1.0
main=baixo;1;stanford=baixo;1.0
daphn=baixo;1;california los=baixo;1.0
furthermor=baixo;1;darpa=baixo;1.0
koller=alto;1;step=baixo;1.0
stanford=baixo;1;depart=baixo;1.0
updat=baixo;1;addit=baixo;1.0
cpts=baixo;1;canada=baixo;1.0
infer bayesian=baixo;1;depend=baixo;1.0
kaufmann publish inc.=alto;1;issu=baixo;1.0
simplifi=baixo;1;cpt=baixo;1.0
independ=baixo;1;plausibl=baixo;1.0
fact=baixo;1;univers california los=baixo;1.0
empti=baixo;1;assum=baixo;1.0
david pool=baixo;1;connect=baixo;1.0
graph=baixo;1;univers british columbia=baixo;1.0
infer belief=baixo;1;columbia=baixo;1.0
judea=baixo;1;let=baixo;1.0
adnan=baixo;1;posterior=baixo;1.0
publish=baixo;1;network node=baixo;1.0
cpt=baixo;1;time=baixo;1.0
come=baixo;1;anonym=baixo;1.0
pool=alto;1;publish=alto;1.0
california los angel=baixo;1;british=baixo;1.0
depart univers=baixo;1;vancouv canada=baixo;1.0
scienc depart univers=baixo;1;british columbia=baixo;1.0
los=baixo;1;independ=baixo;1.0
similar=baixo;1;pearl=baixo;1.0
dechter=baixo;1;british columbia vancouv=baixo;1.0
network node=baixo;1;;
infer bayesian network=baixo;1;;
final=baixo;1;;
causal independ=baixo;1;;
lead=alto;1;;
kaufmann publish=alto;1;;
resourc=baixo;1;;
map=baixo;1;;
