caracteristicasPageRank;freqWordPageRank;caracteristicasTotalSet;freqWordTotalSet
fuzzi=alto;18;fuzzi=alto;16.0
littman=alto;1;duboi=alto;2.0
upper bound=baixo;1;chang=alto;1.0
univers british columbia=medio;1;fuzzi set=alto;1.0
let=medio;1;publish=alto;1.0
optim polici=medio;1;present=alto;1.0
boutili=alto;1;vancouv canada=medio;1.0
lead=medio;1;shown=alto;1.0
conclus=baixo;1;associ=baixo;1.0
columbia=medio;1;space=alto;1.0
carri=alto;1;larg=alto;1.0
vancouv=medio;1;stanford=baixo;1.0
group=baixo;1;cost=medio;1.0
univers british=alto;1;respect=medio;1.0
vancouv canada=medio;1;indic=baixo;1.0
british=alto;1;infer=baixo;1.0
choos=alto;1;order=medio;1.0
columbia=alto;1;academ=alto;1.0
theori=alto;1;user=alto;1.0
fuzzi set=alto;1;match=alto;1.0
interpret=alto;1;belong=alto;1.0
user=alto;1;confer artifici intellig=medio;1.0
duboi=alto;1;confer=alto;1.0
approxim=medio;1;approxim=medio;1.0
uncertainti=alto;1;enabl=alto;1.0
studi=medio;1;prade=alto;1.0
natur languag=alto;1;framework=alto;1.0
like=baixo;1;data=medio;1.0
represent=alto;1;queri=alto;1.0
match=alto;1;academ press=alto;1.0
inform=alto;1;natur languag=alto;1.0
data=medio;1;represent=alto;1.0
uncertain=alto;1;word=alto;1.0
word=alto;1;daphn=baixo;1.0
languag=alto;1;uncertain=alto;1.0
daphn koller=baixo;1;lead=medio;1.0
present=alto;1;koller=alto;1.0
order=medio;1;canada=alto;1.0
similar=baixo;1;univers british=alto;1.0
research=baixo;1;toronto=alto;1.0
lang=alto;1;let=medio;1.0
techniqu=alto;1;describ=alto;1.0
darpa=baixo;1;random=baixo;1.0
acknowledg=baixo;1;modif=baixo;1.0
knowledg=baixo;1;drawback=baixo;1.0
avail=baixo;1;variabl set=baixo;1.0
network=medio;1;individu=medio;1.0
prior=medio;1;maxim=alto;1.0
daphn koller=alto;1;daphn koller=alto;1.0
reduc=medio;1;situat=alto;1.0
craig=alto;1;darwich=alto;1.0
depart comput=alto;1;signific=medio;1.0
koller=alto;1;allow=alto;1.0
pearl=medio;1;stanford univers=medio;1.0
dynam=alto;1;affect=baixo;1.0
certain=alto;1;use learn=baixo;1.0
element=baixo;1;pittsburgh=alto;1.0
random=baixo;1;daphn koller=baixo;1.0
discuss abov=medio;1;stanford=medio;1.0
toronto=alto;1;surpris=baixo;1.0
dean=baixo;1;factor=alto;1.0
size=medio;1;choos=alto;1.0
allow=alto;1;kaufmann publish=alto;1.0
final=medio;1;review=alto;1.0
optim=alto;1;critic=medio;1.0
daphn=baixo;1;instead=baixo;1.0
function=alto;1;columbia=alto;1.0
assign=medio;1;obtain=alto;1.0
british columbia=alto;1;british=alto;1.0
zhang=alto;1;freita=alto;1.0
approxim=baixo;1;given network=alto;1.0
structur=baixo;1;druzdzel=alto;1.0
comput scienc univers=alto;1;moreov=alto;1.0
druzdzel=alto;1;univers pittsburgh=alto;1.0
moreov=alto;1;figur depict=alto;1.0
darwich=alto;1;los=medio;1.0
inc.=alto;1;conclus=medio;1.0
kaufmann publish=alto;1;san=alto;1.0
bayesian=alto;1;network figur=alto;1.0
chang=alto;1;becaus=baixo;1.0
scienc depart univers=baixo;1;depict=alto;1.0
network=alto;1;belief=medio;1.0
network node=medio;1;inc.=alto;1.0
morgan kaufmann publish=alto;1;follow section=alto;1.0
morgan kaufmann=alto;1;pearl=medio;1.0
laboratori=medio;1;univers british columbia=alto;1.0
scienc=alto;1;origin network=alto;1.0
studi=alto;1;scienc depart univers=baixo;1.0
univers pittsburgh=alto;1;;
pool=alto;1;;
publish=alto;1;;
veri=alto;1;;
state=alto;1;;
pittsburgh=alto;1;;
ed=alto;1;;
